1,2,3,4
0,14,0,5
7,14,5,7
14,14,4,9
7,7,3,15
14,14,7,9
0,14,4,9
14,14,8,10
0,7,0,9
14,14,3,12
7,14,5,16
14,14,9,16
0,14,1,6
0,7,0,12
14,7,2,4
14,7,4,8
0,14,2,7
14,7,7,11
0,14,3,12
0,7,5,7
7,14,2,4
7,7,4,8
0,7,2,13
7,14,4,6
7,14,8,13
7,14,3,8
14,7,8,17
7,14,3,8
0,7,1,6
7,7,4,6
0,14,1,13
14,7,2,4
7,14,2,4
7,14,2,11
0,7,2,7
0,14,5,14
0,14,14,16
14,7,8,17
7,14,2,4
7,7,3,8
14,14,10,12
14,14,6,8
14,7,12,14
0,14,1,12
14,7,3,14
0,14,7,16
7,14,0,11
0,14,10,15
0,7,4,6
14,14,0,11
7,7,10,12
0,7,2,13
0,14,2,14
7,7,7,11
0,14,3,5
0,7,10,15
0,14,7,16
7,14,3,12
14,14,2,4
7,7,8,10
14,7,4,16
7,14,7,16
7,14,3,5
14,14,4,9
0,14,4,9
0,14,4,9
7,7,5,17
14,14,7,9
7,14,4,9
14,7,5,7
7,14,3,15
0,7,3,12
0,14,5,17
7,14,0,11
7,14,2,4
0,14,5,7
0,7,4,15
14,14,3,12
14,7,2,4
0,7,6,15
0,14,3,5
14,14,3,8
14,14,3,8
7,14,2,11
14,7,2,7
0,7,2,7
7,7,0,5
0,7,6,15
7,7,0,7
14,7,1,12
14,14,0,9
0,14,1,10
7,14,8,10
0,7,8,10
0,14,2,14
14,7,4,13
14,14,5,16
0,7,2,7
7,14,0,11
0,7,7,12
7,14,0,9
7,7,8,17
0,7,5,10
14,7,2,11
14,7,12,17
7,7,5,7
0,14,9,11
0,7,1,10
14,7,5,7
0,7,1,6
7,7,3,7
0,7,3,8
7,7,2,11
0,14,5,17
0,14,15,17
0,14,0,5
14,7,10,12
7,7,1,6
14,7,13,15
7,7,5,17
14,14,1,10
0,7,1,12
7,14,0,5
14,14,8,13
7,7,7,14
0,14,11,16
0,7,4,6
14,7,7,9
0,14,4,9
0,7,7,12
7,14,5,7
14,7,4,9
0,14,5,7
0,14,2,4
0,7,3,14
0,7,7,16
14,7,1,10
14,14,4,6
0,14,5,10
7,14,3,14
14,14,2,14
7,7,7,16
0,14,8,17
0,14,6,8
0,14,6,15
0,7,1,12
7,7,7,11
0,14,6,11
14,14,4,16
7,7,9,14
7,7,8,17
14,7,4,8
0,7,5,10
14,7,10,17
